Date,Security ID,Base Currency,Pricing Frequency,Investment Type,Domicile,Portfolio Currency,Fund Size (USD),NAV (Daily - USD),Management Fee,Annual Report Net Expense Ratio,Average Yield to Maturity (Long),Average Yield to Maturity (Net),Yield to Maturity,Asset Allocation - Cash (%),Asset Allocation - Equity (%),Asset Allocation - US Equity (%),Asset Allocation - Non-US Equity (%),Asset Allocation - Bonds (%),Asset Allocation - US Bonds (%),Asset Allocation - Non-US Bonds (%),Asset Allocation - Other (%),Equity Sector - Basic Materials (%),Equity Sector - Communication Services (%),Equity Sector - Consumer Cyclical (%),Equity Sector - Consumer Defensive (%),Equity Sector - Healthcare (%),Equity Sector - Industrials (%),Equity Sector - Real Estate (%),Equity Sector - Technology (%),Equity Sector - Energy (%),Equity Sector - Financial Services (%),Equity Sector - Utilities (%),Equity Country - Belgium (%),Equity Country - Brazil (%),Equity Country - Canada (%),Equity Country - China (%),Equity Country - France (%),Equity Country - Germany (%),Equity Country - Italy (%),Equity Country - India (%),Equity Country - Japan (%),Equity Country - Mexico (%),Equity Country - Netherlands (%),Equity Country - Russia (%),Equity Country - Spain (%),Equity Country - Sweden (%),Equity Country - Switzerland (%),Equity Country - United Kingdom (%),Equity Country - United States (%),Market Cap - Giant (%),Market Cap - Large (%),Market Cap - Mid (%),Market Cap - Small (%),Market Cap - Micro (%),Fixed Income - Government (%),Fixed Income - Municipal (%),Fixed Income - Corporate (%),Fixed Income - Securitized (%),Fixed Income - Cash Equivalents (%),Fixed Income - Derivatives (%),Fixed Income - Belgium (%),Fixed Income - Brazil (%),Fixed Income - Canada (%),Fixed Income - France (%),Fixed Income - Germany (%),Fixed Income - Indonesia (%),Fixed Income - Italy (%),Fixed Income - Japan (%),Fixed Income - Mexico (%),Fixed Income - Netherlands (%),Fixed Income - Russia (%),Fixed Income - Spain (%),Fixed Income - Sweden (%),Fixed Income - Switzerland (%),Fixed Income - United Kingdom (%),Fixed Income - United States (%),Maturity - 1-3 Years (%),Maturity - 3-5 Years (%),Maturity - 5-7 Years (%),Maturity - 7-10 Years (%),Maturity - 10-15 Years (%),Maturity - 15-20 Years (%),Maturity - 20-30 Years (%),Maturity - 30+ Years (%),Credit Quality - AAA (%),Credit Quality - AA (%),Credit Quality - A (%),Credit Quality - BBB (%),Credit Quality - BB (%),Credit Quality - B (%),Credit Quality - Below B (%),Credit Quality - Not Rated (%),Equity Region - Emerging Markets (%),Equity Region - Europe Developed (%),Equity Region - North America (%),Equity Region - Japan (%),Fixed Income Region - Emerging Markets (%),Fixed Income Region - Europe Developed (%),Fixed Income Region - Japan (%),Fixed Income Region - North America (%)
3/31/2015,7669e8d8,Pound Sterling,Daily,Insurance Product Fund,Ireland,Pound Sterling,500209.71,8.241,0,1.75,,,,1.98,97.05,0.85,96.19,0,0,0,0.97,8.14,1.02,11.27,3.11,11.11,38.95,1.11,9.82,5.17,7.34,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,94.98,0.85,0,0,18.79,57.16,19.76,0,0,0.19,0,0.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,0.02,0.85,0,,,,
5/31/2015,7669e8d8,Pound Sterling,Daily,Insurance Product Fund,Ireland,Pound Sterling,538368.45,9.341,0,1.75,,,,1.98,97.05,0.85,96.19,0,0,0,0.97,8.14,1.02,11.27,3.11,11.11,38.95,1.11,9.82,5.17,7.34,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,94.98,0.85,0,0,18.79,57.16,19.76,0,0,0.19,0,0.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,0.02,0.85,0,,,,
4/30/2015,7669e8d8,Pound Sterling,Daily,Insurance Product Fund,Ireland,Pound Sterling,509333.61,8.803,0,1.75,,,,1.98,97.05,0.85,96.19,0,0,0,0.97,8.14,1.02,11.27,3.11,11.11,38.95,1.11,9.82,5.17,7.34,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,94.98,0.85,0,0,18.79,57.16,19.76,0,0,0.19,0,0.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,0.02,0.85,0,,,,
4/30/2015,ba760a95,Pound Sterling,Daily,Insurance Product Fund,Ireland,Pound Sterling,259889.62,3.351,0.55,0.55,,,3.62,1.03,92.28,0.05,92.23,0.03,0,0.03,6.66,10.34,7.1,5.89,14.14,7.87,7.56,1.28,1.97,16.89,14.5,4.03,0.03,0.01,0.02,0.02,0.03,0.02,0,0.01,0.01,0.21,0,0.11,0.19,0.01,0.23,90.17,0.05,58.66,15.55,13.4,3.19,0.48,0.02,0,0.05,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,100,0,0,0,0,0,0,0,0.84,0.62,0.07,0.01,,,,
5/31/2015,ba760a95,Pound Sterling,Daily,Insurance Product Fund,Ireland,Pound Sterling,272000.39,3.447,0.55,0.55,,,3.62,1.03,92.28,0.05,92.23,0.03,0,0.03,6.66,10.34,7.1,5.89,14.14,7.87,7.56,1.28,1.97,16.89,14.5,4.03,0.03,0.01,0.02,0.02,0.03,0.02,0,0.01,0.01,0.21,0,0.11,0.19,0.01,0.23,90.17,0.05,58.66,15.55,13.4,3.19,0.48,0.02,0,0.05,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,100,0,0,0,0,0,0,0,0.84,0.62,0.07,0.01,,,,
3/31/2015,ba760a95,Pound Sterling,Daily,Insurance Product Fund,Ireland,Pound Sterling,258301.88,3.169,0.55,0.55,,,3.62,1.03,92.28,0.05,92.23,0.03,0,0.03,6.66,10.34,7.1,5.89,14.14,7.87,7.56,1.28,1.97,16.89,14.5,4.03,0.03,0.01,0.02,0.02,0.03,0.02,0,0.01,0.01,0.21,0,0.11,0.19,0.01,0.23,90.17,0.05,58.66,15.55,13.4,3.19,0.48,0.02,0,0.05,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,100,0,0,0,0,0,0,0,0.84,0.62,0.07,0.01,,,,
5/31/2015,25746cef,US Dollar,Daily,Insurance Product Fund,Ireland,US Dollar,689291,3.603,1.5,1.95,,,,3.52,94.57,0,94.57,1.91,0,1.91,0,10.01,5.59,17.53,3.13,0,19.96,7.13,7.72,2.57,19.51,0,0,0,0,13.43,0,0,0,1.15,39.16,0,0,0,0,0,0,0.93,0,55.32,31.17,5.4,0.38,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0,,,,,,,,,19.69,0,0,39.16,,,,
4/30/2015,25746cef,US Dollar,Daily,Insurance Product Fund,Ireland,US Dollar,572471,3.559,1.5,1.95,,,,3.52,94.57,0,94.57,1.91,0,1.91,0,10.01,5.59,17.53,3.13,0,19.96,7.13,7.72,2.57,19.51,0,0,0,0,13.43,0,0,0,1.15,39.16,0,0,0,0,0,0,0.93,0,55.32,31.17,5.4,0.38,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0,,,,,,,,,19.69,0,0,39.16,,,,
3/31/2015,25746cef,US Dollar,Daily,Insurance Product Fund,Ireland,US Dollar,612580,3.48,1.5,1.95,,,,3.52,94.57,0,94.57,1.91,0,1.91,0,10.01,5.59,17.53,3.13,0,19.96,7.13,7.72,2.57,19.51,0,0,0,0,13.43,0,0,0,1.15,39.16,0,0,0,0,0,0,0.93,0,55.32,31.17,5.4,0.38,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0,,,,,,,,,19.69,0,0,39.16,,,,
4/30/2015,c98e6ca2,Euro,Daily,Insurance Product Fund,Belgium,,,139.417,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
