Date,Security ID,Base Currency,Pricing Frequency,Investment Type,Domicile,Portfolio Currency,Fund Size (USD),NAV (Daily - USD),Asset Allocation - Cash (%),Asset Allocation - Equity (%),Asset Allocation - US Equity (%),Asset Allocation - Non-US Equity (%),Asset Allocation - Bonds (%),Asset Allocation - US Bonds (%),Asset Allocation - Non-US Bonds (%),Asset Allocation - Other (%),Fixed Income - Government (%),Fixed Income - Municipal (%),Fixed Income - Corporate (%),Fixed Income - Securitized (%),Fixed Income - Cash Equivalents (%),Fixed Income - Derivatives (%),NAV_pct_change,Fund_Size_pct_change,Cluster
2015-05-31,4c31ddb6,Euro,Daily,Open-End Fund,Austria,Euro,8455309.9,67.899,19.73,12.89,3.37,9.52,66.58,0.0,66.58,0.81,66.58,0.0,0.0,0.0,19.73,0.0,0.005002886280546459,0.00877973309401514,0
2015-03-31,4ca73265,Euro,Daily,Open-End Fund,Luxembourg,Euro,819710850.3,204.046,4.71,79.0,42.18,36.81,1.71,0.3,1.41,14.59,0.12,0.0,1.64,0.08,4.55,0.15,1e-08,1e-08,1
2015-04-30,4ca73265,Euro,Daily,Open-End Fund,Luxembourg,Euro,882668287.3,214.333,6.99,76.96,40.63,36.33,1.96,0.22,1.73,14.09,0.02,0.0,1.98,0.04,6.81,0.18,0.050415102476892404,0.07680444510031648,1
2015-05-31,4ca73265,Euro,Daily,Open-End Fund,Luxembourg,Euro,899917151.5,214.723,5.07,78.54,42.28,36.26,1.8,0.23,1.57,14.58,0.02,0.0,1.81,0.05,4.9,0.17,0.0018195984752698013,0.019541728697156202,1
2015-03-31,4cbc9b76,US Dollar,Daily,Open-End Fund,Luxembourg,US Dollar,661018671.0,27.13,2.26,97.74,64.1,33.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.0,1e-08,1e-08,1
2015-04-30,4cbc9b76,US Dollar,Daily,Open-End Fund,Luxembourg,US Dollar,711259533.0,28.83,0.83,99.17,66.59,32.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.06266126059712485,0.07600520863350924,1
2015-05-31,4cbc9b76,US Dollar,Daily,Open-End Fund,Luxembourg,US Dollar,711141862.0,29.08,2.41,97.59,66.0,31.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,0.0,0.008671522719389424,-0.0001654403133320992,1
2015-03-31,4cd5ff64,Euro,Daily,Insurance Product Fund,Belgium,,12318411.65,66.264,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0
2015-04-30,4cd5ff64,Euro,Daily,Insurance Product Fund,Belgium,,13476703.19,71.668,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.08155257756851397,0.09402929313536945,0
2015-05-31,4cd5ff64,Euro,Daily,Insurance Product Fund,Belgium,,13384901.65,72.059,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.005455712451861272,-0.006811869246190594,0
2015-03-31,4cfc583d,Euro,Daily,Open-End Fund,Luxembourg,Japanese Yen,204924728.5,19.749,3.88,96.12,0.0,96.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,0.0,1e-08,1e-08,1
2015-04-30,4cfc583d,Euro,Daily,Open-End Fund,Luxembourg,Japanese Yen,205683337.0,19.585,4.18,95.82,0.0,95.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0,-0.008304217935085179,0.0037018885204964658,1
2015-05-31,4cfc583d,Euro,Daily,Open-End Fund,Luxembourg,Japanese Yen,202361243.5,19.551,3.87,96.13,0.0,96.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,0.0,-0.0017360224661732149,-0.016151495538989646,1
2015-03-31,4d25ff40,Euro,Semi-Monthly,Open-End Fund,Italy,Euro,1e-08,961481.14,34.34,61.06,-0.17,61.23,0.0,0.0,0.0,4.6,0.0,0.0,4.6,0.0,34.34,0.0,1e-08,1e-08,4
2015-04-30,4d25ff40,Euro,Semi-Monthly,Open-End Fund,Italy,Euro,1e-08,950840.363,41.75,53.62,0.19,53.43,0.0,0.0,0.0,4.64,0.0,0.0,4.64,0.0,41.75,0.0,-0.011067067836608824,1e-08,4
